profile_id	source_product_id	source_product_name	target_product_id	target_product_name	split	rank	score	local_accord	visual_note	local_family	global_accord	global_family	cross_ref_global_to_local_accord	cross_ref_global_to_local_family	same_global_reference	sem_similar	enriched_cross_ref_bonus
11	11	Solstice	43	Stardust	train	5	4.325000	1.333333	0.000000	0.000000	0.666667	1.250000	0.875000	0.000000	0.000000	0.000000	0.200000
11	11	Solstice	10	Aquazone	train	6	4.317316	0.500000	0.416667	1.500000	0.714286	0.000000	0.636364	0.000000	0.000000	0.350000	0.200000
11	11	Solstice	18	Colate Sport	train	8	3.902564	0.500000	0.416667	1.500000	0.666667	0.000000	0.269231	0.000000	0.000000	0.350000	0.200000
11	11	Solstice	298	Spices Fragrance	train	9	3.896429	0.857143	0.000000	0.000000	0.714286	1.250000	0.875000	0.000000	0.000000	0.000000	0.200000
11	11	Solstice	23	SAFETY FIRST	train	11	3.800649	0.857143	0.000000	0.000000	0.857143	1.250000	0.636364	0.000000	0.000000	0.000000	0.200000
11	11	Solstice	324	Groove Large	train	12	3.800649	0.857143	0.000000	0.000000	0.857143	1.250000	0.636364	0.000000	0.000000	0.000000	0.200000
11	11	Solstice	12	Our First Love	test	1	6.925000	1.333333	0.416667	1.500000	1.000000	1.250000	0.875000	0.000000	0.000000	0.350000	0.200000
11	11	Solstice	16	Bosi Bottle	test	4	4.358120	0.222222	0.416667	1.500000	0.500000	1.250000	0.269231	0.000000	0.000000	0.000000	0.200000
11	11	Solstice	317	Iron Man	test	7	4.273052	0.857143	0.000000	0.000000	1.090909	1.250000	0.875000	0.000000	0.000000	0.000000	0.200000
11	11	Solstice	333	Golden Dust	test	10	3.821566	0.857143	0.000000	0.000000	1.076923	1.250000	0.437500	0.000000	0.000000	0.000000	0.200000
12	12	Our First Love	47	Bad Boy	train	2	6.033333	2.000000	0.000000	0.000000	1.333333	1.250000	1.250000	0.000000	0.000000	0.000000	0.200000
12	12	Our First Love	14	Black Ball	train	3	5.600000	1.333333	0.416667	1.500000	0.800000	0.000000	1.000000	0.000000	0.000000	0.350000	0.200000
12	12	Our First Love	10	Aquazone	train	5	4.857143	0.857143	0.416667	1.500000	0.833333	0.000000	0.700000	0.000000	0.000000	0.350000	0.200000
12	12	Our First Love	16	Bosi Bottle	train	6	4.795620	0.222222	0.416667	1.500000	0.769231	1.250000	0.437500	0.000000	0.000000	0.000000	0.200000
12	12	Our First Love	77	Dark Ages	train	8	4.588889	1.333333	0.000000	0.000000	0.833333	1.250000	0.972222	0.000000	0.000000	0.000000	0.200000
12	12	Our First Love	317	Iron Man	train	9	4.557143	0.857143	0.000000	0.000000	1.000000	1.250000	1.250000	0.000000	0.000000	0.000000	0.200000
12	12	Our First Love	321	Black Snow	train	11	4.098052	0.857143	0.000000	0.000000	1.090909	1.250000	0.700000	0.000000	0.000000	0.000000	0.200000
12	12	Our First Love	141	In The Groove	train	12	4.062981	2.000000	0.000000	0.000000	0.769231	0.000000	1.093750	0.000000	0.000000	0.000000	0.200000
12	12	Our First Love	11	Solstice	test	1	6.925000	1.333333	0.416667	1.500000	1.000000	1.250000	0.875000	0.000000	0.000000	0.350000	0.200000
12	12	Our First Love	43	Stardust	test	4	5.312981	2.000000	0.000000	0.000000	0.769231	1.250000	1.093750	0.000000	0.000000	0.000000	0.200000
12	12	Our First Love	298	Spices Fragrance	test	7	4.710417	1.333333	0.000000	0.000000	0.833333	1.250000	1.093750	0.000000	0.000000	0.000000	0.200000
12	12	Our First Love	23	SAFETY FIRST	test	10	4.330342	1.333333	0.000000	0.000000	0.769231	1.250000	0.777778	0.000000	0.000000	0.000000	0.200000
13	13	Pentavenue	10	Aquazone	train	2	4.233120	0.222222	0.416667	1.500000	0.375000	1.250000	0.269231	0.000000	0.000000	0.000000	0.200000
13	13	Pentavenue	17	Fuck Boy	train	3	4.080342	0.222222	0.416667	1.500000	0.222222	1.250000	0.269231	0.000000	0.000000	0.000000	0.200000
